Beat_ID,Title,Era,Scripture_Ref,Biblical_Time,Weight,Real_Days,Start_Day,End_Day,Notes
BEAT_099,The Queen of Sheba; Solomon's Glory,Monarchy,1 Kings 9-10,,4,0.8,97.6,98.4,'The half was not told me'
BEAT_100,Solomon's Fall; the Kingdom Torn,Monarchy,1 Kings 11-12,~930 BC,5,1.1,98.4,99.5,Rehoboam's tax blunder; the schism
BEAT_101,Jeroboam's Calves; Early Kings,Divided Kingdom,1 Kings 13-16,,3,0.6,99.5,100.1,The golden calves; the coups
BEAT_102,"Elijah, the Drought & Mount Carmel",Divided Kingdom,1 Kings 17-18,~860 BC,7,1.5,100.1,101.6,"Fire falls; 'The LORD, He is God'"
BEAT_103,The Still Small Voice; Elisha Called,Divided Kingdom,1 Kings 19,,4,0.8,101.6,102.4,The whisper; the mantle thrown
BEAT_104,Ahab's Wars; Naboth's Vineyard,Divided Kingdom,1 Kings 20-21,,5,1.1,102.4,103.5,Jezebel's frame-up
BEAT_105,Micaiah; the Death of Ahab,Divided Kingdom,1 Kings 22,,4,0.8,103.5,104.3,The lying spirit; the random arrow
BEAT_106,Elijah Taken Up; Elisha's Mantle,Divided Kingdom,2 Kings 1-2,,5,1.1,104.3,105.4,The whirlwind of fire
BEAT_107,Elisha's Miracles,Divided Kingdom,2 Kings 3-8,,5,1.1,105.4,106.5,The Shunammite; Naaman; the floating axe
BEAT_108,Jehu's Purge,Divided Kingdom,2 Kings 9-10,~841 BC,5,1.1,106.5,107.6,Jezebel out the window
BEAT_109,Athaliah & the Hidden King,Divided Kingdom,2 Kings 11-12,,4,0.8,107.6,108.4,The baby in the temple
BEAT_110,Jonah & Nineveh,Divided Kingdom,Jonah,~780 BC,4,0.8,108.4,109.2,The fish; the reluctant prophet
BEAT_111,The Decline of Both Kingdoms,Divided Kingdom,2 Kings 13-15,,2,0.4,109.2,109.6,King-list churn - low density
BEAT_112,Isaiah's Vision; the Messianic Hope,Divided Kingdom,Isaiah,~700 BC,4,0.8,109.6,110.4,"'Holy, holy, holy'; Immanuel; the Servant"
BEAT_113,The Fall of Israel to Assyria,Divided Kingdom,2 Kings 16-17,722 BC,5,1.1,110.4,111.5,Samaria falls; the ten tribes lost
BEAT_114,Hezekiah & Sennacherib,Divided Kingdom,2 Kings 18-20,701 BC,6,1.3,111.5,112.8,"185,000 dead overnight"
BEAT_115,Manasseh's Evil; Josiah's Reform,Divided Kingdom,2 Kings 21-23,,4,0.8,112.8,113.6,The lost scroll found
BEAT_116,Jeremiah's Warnings; Judah's Doom,Divided Kingdom,Jeremiah,,4,0.8,113.6,114.4,The weeping prophet; the new covenant
BEAT_117,The Fall of Judah to Babylon,Divided Kingdom,2 Kings 24-25,586 BC,6,1.3,114.4,115.7,The temple burned; the exile
BEAT_118,Ezekiel by the Chebar; Dry Bones,Exile,Ezekiel,~590 BC,4,0.8,115.7,116.5,Wheels within wheels; 'Can these bones live?'
BEAT_119,Daniel in Babylon; the Fiery Furnace,Exile,Dan 1-3,~600 BC,6,1.3,116.5,117.8,The king's food; the fourth man in the fire
BEAT_120,Nebuchadnezzar Humbled,Exile,Dan 4,,4,0.8,117.8,118.6,The king who ate grass
BEAT_121,The Writing on the Wall; the Lions' Den,Exile,Dan 5-6,539 BC,6,1.3,118.6,119.9,"Mene, Mene; Daniel & the lions"
BEAT_122,By the Rivers of Babylon,Exile,Ps 137,,3,0.6,119.9,120.5,The longing for Zion (NPC-rich)
BEAT_123,Cyrus's Decree; the Return,Return,Ezra 1-2,538 BC,4,0.8,120.5,121.3,'Let them go up'
BEAT_124,Rebuilding the Temple,Return,Ezra 3-6,,4,0.8,121.3,122.1,Foundation in tears; Haggai & Zechariah
BEAT_125,Esther & Purim,Persian Period,Esther,~478 BC,6,1.3,122.1,123.4,'For such a time as this'; Haman's fall (Amalek payoff)
BEAT_126,Ezra Restores the Law,Return,Ezra 7-10,~458 BC,3,0.6,123.4,124.0,The Law read aloud; the people weep
BEAT_127,Nehemiah Rebuilds the Wall,Return,Nehemiah,~445 BC,5,1.1,124.0,125.1,52 days; trowel and sword
BEAT_128,Malachi & the 400 Silent Years,Return,Malachi,~430 BC,3,0.6,125.1,125.7,"'Behold, I send Elijah'; then silence"
BEAT_129,The Annunciations,Gospels,Luke 1,~5 BC,7,1.5,125.7,127.2,Gabriel to Zechariah & to Mary
BEAT_130,The Nativity,Gospels,Luke 2 / Matt 1-2,~5 BC,9,1.9,127.2,129.1,Born in Bethlehem (Micah payoff)
BEAT_131,The Magi; Flight to Egypt; Herod,Gospels,Matt 2,,6,1.3,129.1,130.4,The star; the slaughter; the escape
BEAT_132,The Boy Jesus in the Temple,Gospels,Luke 2,~8 AD,5,1.1,130.4,131.5,The hidden years; 'My Father's house'
BEAT_133,John the Baptist; the Baptism,Gospels,Matt 3 / Luke 3,~27 AD,7,1.5,131.5,133.0,'Prepare the way'; the dove & the voice
BEAT_134,The Temptation in the Wilderness,Gospels,Matt 4 / Luke 4,,5,1.1,133.0,134.1,40 days; 'It is written'
BEAT_135,The First Disciples; Water to Wine,Gospels,John 1-2,,6,1.3,134.1,135.4,'Follow Me'; Cana
BEAT_136,The Woman at the Well; Nicodemus,Gospels,John 3-4,,5,1.1,135.4,136.5,'You must be born again'; living water
BEAT_137,The Sermon on the Mount,Gospels,Matt 5-7,,7,1.5,136.5,138.0,The Beatitudes; 'love your enemies'
BEAT_138,Miracles & Healings in Galilee,Gospels,Matt 8-9 / Mark 1-2,,8,1.7,138.0,139.7,"Lepers, paralytics, the storm stilled (NPC gold)"
BEAT_139,The Twelve Sent; Parables of the Kingdom,Gospels,Matt 10-13,,6,1.3,139.7,141.0,The sower; the mustard seed
BEAT_140,"John Beheaded; Feeding the 5,000",Gospels,Matt 14,,7,1.5,141.0,142.5,The platter; the loaves & fish
BEAT_141,Walking on Water; the Bread of Life,Gospels,Matt 14 / John 6,,6,1.3,142.5,143.8,The hard sayings; many turn back
BEAT_142,The Transfiguration; 'Who Do You Say I Am',Gospels,Matt 16-17,,6,1.3,143.8,145.1,Glory on the mountain; Peter's confession
BEAT_143,Teaching Toward Jerusalem,Gospels,Luke 9-18,,6,1.3,145.1,146.4,Prodigal son; good Samaritan; the lost
BEAT_144,Raising Lazarus,Gospels,John 11,,7,1.5,146.4,147.9,"'Lazarus, come out'; the plot to kill Jesus"
BEAT_145,Zacchaeus; Bartimaeus; the Rich Ruler,Gospels,Luke 18-19,,5,1.1,147.9,149.0,The sycamore; 'let me see'
BEAT_146,The Triumphal Entry,Gospels,Matt 21 / John 12,~30 AD,8,1.7,149.0,150.7,Palm Sunday; 'Hosanna'
BEAT_147,Cleansing the Temple; Final Confrontations,Gospels,Matt 21-23,,6,1.3,150.7,152.0,The tables; the woes
BEAT_148,The Olivet Discourse,Gospels,Matt 24-25,,4,0.8,152.0,152.8,The end of the age; the talents
BEAT_149,The Last Supper,Gospels,Matt 26 / John 13-17,,9,1.9,152.8,154.7,The bread & cup; 'love one another'
BEAT_150,Gethsemane & the Betrayal,Gospels,Matt 26,,9,1.9,154.7,156.6,'Not My will'; the kiss; the arrest
BEAT_151,The Trials of Jesus,Gospels,Matt 26-27 / John 18,,9,1.9,156.6,158.5,Caiaphas; Pilate; Peter's denial; Barabbas
BEAT_152,The Crucifixion,Gospels,Matt 27 / John 19,,10,2.1,158.5,160.6,THE peak - 'It is finished'; the torn veil
BEAT_153,The Burial; the Silent Saturday,Gospels,Matt 27 / John 19,,6,1.3,160.6,161.9,The borrowed tomb; the held breath
BEAT_154,The Resurrection,Gospels,Matt 28 / John 20,,10,2.1,161.9,164.0,THE peak - the empty tomb; 'I have seen the Lord'
BEAT_155,Emmaus & the Appearances,Gospels,Luke 24 / John 20-21,,8,1.7,164.0,165.7,Burning hearts; Thomas; Peter restored
BEAT_156,The Great Commission & Ascension,Gospels,Matt 28 / Acts 1,,7,1.5,165.7,167.2,'Go and make disciples'; taken up
BEAT_157,Pentecost,Early Church,Acts 2,~30 AD,8,1.7,167.2,168.9,"Wind & fire; the church is born; 3,000 baptized"
BEAT_158,The Early Community; Ananias & Sapphira,Early Church,Acts 3-5,,6,1.3,168.9,170.2,All things in common; the lie that killed
BEAT_159,Stephen the First Martyr,Early Church,Acts 6-7,,6,1.3,170.2,171.5,The stoning; Saul holds the coats
BEAT_160,Philip & the Ethiopian; Saul's Conversion,Early Church,Acts 8-9,,7,1.5,171.5,173.0,The Damascus road
BEAT_161,Cornelius; the Gospel to the Gentiles,Early Church,Acts 10-11,,5,1.1,173.0,174.1,The sheet of animals; the door opens
BEAT_162,Peter's Escape; Herod's Death,Early Church,Acts 12,,4,0.8,174.1,174.9,The angel; Rhoda; the worms
BEAT_163,First Journey; the Jerusalem Council,Early Church,Acts 13-15,~49 AD,5,1.1,174.9,176.0,Grace for the Gentiles
BEAT_164,"Second Journey: Philippi, Athens, Corinth",Early Church,Acts 16-18,,6,1.3,176.0,177.3,Lydia; the jailer; Mars Hill
BEAT_165,Third Journey: Ephesus,Early Church,Acts 19-20,,5,1.1,177.3,178.4,The riot of the silversmiths
BEAT_166,Paul Arrested; the Voyage to Rome,Early Church,Acts 21-28,~60 AD,6,1.3,178.4,179.7,The trials; the shipwreck; 'I appeal to Caesar'
BEAT_167,The Letters Go Out,Early Church,the Epistles,,4,0.8,179.7,180.5,The teaching spreads to the churches
BEAT_168,Revelation: the Final Vision,Early Church,Revelation,~95 AD,6,1.3,180.5,181.8,The throne; the Lamb; new heaven & new earth
